                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1734,                 1.1934,                 1.5326,                0.53942,                0.45833,                0.38087,                0.13669,                 1.1878,                 2.2522,                 1.0919,               0.003268,               0.003268,               0.003268
                     36,                 1.1561,                 1.1948,                 1.5103,                0.61865,                0.46272,                0.43487,                0.15456,                 1.1794,                 2.2048,                 1.0964,                0.00307,                0.00307,                0.00307
                     37,                 1.2026,                 1.2264,                 1.5394,                0.59261,                0.50403,                0.47646,                0.17114,                 1.1576,                  2.198,                 1.0845,               0.002872,               0.002872,               0.002872
                     38,                 1.2126,                 1.2066,                 1.5431,                0.55148,                0.53289,                0.48718,                0.17368,                 1.1427,                 2.1781,                 1.0713,               0.002674,               0.002674,               0.002674
                     39,                 1.2006,                 1.2022,                 1.5446,                 0.6734,                0.55263,                0.56033,                0.19712,                 1.1451,                 2.1084,                 1.0736,               0.002476,               0.002476,               0.002476
                     40,                  1.225,                 1.1878,                 1.5588,                0.64667,                0.56995,                0.55293,                0.20597,                 1.1421,                 2.1603,                 1.0715,               0.002278,               0.002278,               0.002278
                     41,                 1.1198,                  1.051,                 1.5271,                0.55661,                0.32895,                 0.3339,                0.12683,                 1.1503,                 2.1195,                 1.0748,                0.00208,                0.00208,                0.00208
                     42,                 1.0953,                0.98568,                 1.5256,                0.58598,                0.48465,                0.45417,                0.15387,                  1.122,                 2.2174,                 1.0559,               0.001882,               0.001882,               0.001882
                     43,                 1.0729,                0.95276,                 1.4937,                 0.6372,                0.45395,                0.49215,                0.19061,                 1.1431,                 2.0753,                 1.0666,               0.001684,               0.001684,               0.001684
                     44,                 1.0749,                0.91968,                 1.5065,                0.67588,                0.54875,                0.56486,                0.21869,                 1.1243,                 2.0177,                 1.0568,               0.001486,               0.001486,               0.001486
                     45,                 1.0705,                0.93398,                 1.4988,                0.63107,                0.59269,                0.61411,                0.22715,                 1.1085,                  1.986,                 1.0583,               0.001288,               0.001288,               0.001288
                     46,                 1.0563,                0.89091,                 1.4786,                0.67493,                0.57456,                0.59297,                0.23108,                 1.1072,                 1.9056,                 1.0426,                0.00109,                0.00109,                0.00109
                     47,                 1.0356,                 0.8724,                 1.4608,                0.71199,                0.59635,                0.64647,                0.24652,                 1.1016,                 1.9126,                 1.0431,               0.000892,               0.000892,               0.000892
                     48,                 1.0203,                0.85084,                 1.4555,                0.76286,                0.58991,                0.67216,                0.25869,                 1.0912,                 1.8848,                 1.0413,               0.000694,               0.000694,               0.000694
                     49,                 1.0171,                0.85326,                  1.453,                0.68695,                0.40423,                0.44517,                0.16631,                 1.0938,                 1.8676,                  1.041,               0.000496,               0.000496,               0.000496
                     50,                0.99583,                0.82365,                 1.4306,                0.77108,                0.44079,                0.51587,                0.19779,                 1.0888,                 1.8561,                 1.0389,               0.000298,               0.000298,               0.000298
